Input_Intensity,Output_Intensity
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,2
11,3
12,6
13,9
14,15
15,22
16,30
17,40
18,50
19,63
20,75
21,88
22,101
23,113
24,126
25,137
26,147
27,156
28,165
29,173
30,180
31,186
32,191
33,196
34,200
35,204
36,207
37,210
38,212
39,215
40,216
41,218
42,219
43,220
44,221
45,222
46,223
47,224
48,224
49,225
50,226
51,226
52,227
53,227
54,228
55,228
56,229
57,229
58,230
59,230
60,230
61,231
62,231
63,232
64,232
65,232
66,233
67,233
68,234
69,234
70,234
71,235
72,235
73,236
74,236
75,236
76,237
77,237
78,237
79,238
80,238
81,238
82,239
83,239
84,239
85,240
86,240
87,240
88,241
89,241
90,241
91,242
92,242
93,242
94,243
95,243
96,243
97,243
98,244
99,244
100,244
101,245
102,245
103,245
104,245
105,246
106,246
107,246
108,246
109,246
110,247
111,247
112,247
113,247
114,247
115,248
116,248
117,248
118,248
119,248
120,249
121,249
122,249
123,249
124,249
125,249
126,250
127,250
128,250
129,250
130,250
131,250
132,251
133,251
134,251
135,251
136,251
137,251
138,252
139,252
140,252
141,252
142,252
143,252
144,252
145,252
146,253
147,253
148,253
149,253
150,253
151,253
152,253
153,253
154,253
155,254
156,254
157,254
158,254
159,254
160,254
161,254
162,254
163,254
164,254
165,254
166,254
167,255
168,255
169,255
170,255
171,255
172,255
173,255
174,255
175,255
176,255
177,255
178,255
179,255
180,255
181,255
182,255
183,255
184,255
185,255
186,255
187,255
188,255
189,255
190,255
191,255
192,255
193,255
194,255
195,255
196,255
197,255
198,255
199,255
200,255
201,255
202,255
203,255
204,255
205,255
206,255
207,255
208,255
209,255
210,255
211,255
212,255
213,255
214,255
215,255
216,255
217,255
218,255
219,255
220,255
221,255
222,255
223,255
224,255
225,255
226,255
227,255
228,255
229,255
230,255
231,255
232,255
233,255
234,255
235,255
236,255
237,255
238,255
239,255
240,255
241,255
242,255
243,255
244,255
245,255
246,255
247,255
248,255
249,255
250,255
251,255
252,255
253,255
254,255
255,255
