Intensity,Cumulative_Count
0,4096
1,8192
2,12288
3,16384
4,20480
5,24576
6,28672
7,32768
8,36864
9,40960
10,45056
11,49152
12,53248
13,57344
14,61440
15,65536
16,69632
17,73728
18,77824
19,81920
20,86016
21,90112
22,94208
23,98304
24,102400
25,106496
26,110592
27,114688
28,118784
29,122880
30,126976
31,131072
32,135168
33,139264
34,143360
35,147456
36,151552
37,155648
38,159744
39,163840
40,167936
41,172032
42,176128
43,180224
44,184320
45,188416
46,192512
47,196608
48,200704
49,204800
50,208896
51,212992
52,217088
53,221184
54,225280
55,229376
56,233472
57,237568
58,241664
59,245760
60,249856
61,253952
62,258048
63,262144
64,266240
65,270336
66,274432
67,278528
68,282624
69,286720
70,290816
71,294912
72,299008
73,303104
74,307200
75,311296
76,315392
77,319488
78,323584
79,327680
80,331776
81,335872
82,339968
83,344064
84,348160
85,352256
86,356352
87,360448
88,364544
89,368640
90,372736
91,376832
92,380928
93,385024
94,389120
95,393216
96,397312
97,401408
98,405504
99,409600
100,413696
101,417792
102,421888
103,425984
104,430080
105,434176
106,438272
107,442368
108,446464
109,450560
110,454656
111,458752
112,462848
113,466944
114,471040
115,475136
116,479232
117,483328
118,487424
119,491520
120,495616
121,499712
122,503808
123,507904
124,512000
125,516096
126,520192
127,524288
128,528384
129,532480
130,536576
131,540672
132,544768
133,548864
134,552960
135,557056
136,561152
137,565248
138,569344
139,573440
140,577536
141,581632
142,585728
143,589824
144,593920
145,598016
146,602112
147,606208
148,610304
149,614400
150,618496
151,622592
152,626688
153,630784
154,634880
155,638976
156,643072
157,647168
158,651264
159,655360
160,659456
161,663552
162,667648
163,671744
164,675840
165,679936
166,684032
167,688128
168,692224
169,696320
170,700416
171,704512
172,708608
173,712704
174,716800
175,720896
176,724992
177,729088
178,733184
179,737280
180,741376
181,745472
182,749568
183,753664
184,757760
185,761856
186,765952
187,770048
188,774144
189,778240
190,782336
191,786432
192,790528
193,794624
194,798720
195,802816
196,806912
197,811008
198,815104
199,819200
200,823296
201,827392
202,831488
203,835584
204,839680
205,843776
206,847872
207,851968
208,856064
209,860160
210,864256
211,868352
212,872448
213,876544
214,880640
215,884736
216,888832
217,892928
218,897024
219,901120
220,905216
221,909312
222,913408
223,917504
224,921600
225,925696
226,929792
227,933888
228,937984
229,942080
230,946176
231,950272
232,954368
233,958464
234,962560
235,966656
236,970752
237,974848
238,978944
239,983040
240,987136
241,991232
242,995328
243,999424
244,1003520
245,1007616
246,1011712
247,1015808
248,1019904
249,1024000
250,1028096
251,1032192
252,1036288
253,1040384
254,1044480
255,1048576
