Intensity,Pixel_Count
0,0
1,0
2,0
3,0
4,7
5,14
6,90
7,363
8,780
9,1900
10,3665
11,6224
12,10686
13,14924
14,21309
15,31621
16,30683
17,40887
18,44376
19,50269
20,52297
21,52673
22,53917
23,48233
24,53058
25,45924
26,42084
27,36832
28,36757
29,30442
30,28373
31,27102
32,21432
33,19635
34,16718
35,15507
36,13217
37,11597
38,10025
39,8947
40,6990
41,6301
42,5481
43,4556
44,4243
45,3527
46,3367
47,2720
48,3138
49,2550
50,2427
51,2311
52,2283
53,2069
54,2133
55,1794
56,2059
57,1826
58,1786
59,1734
60,1875
61,1637
62,1731
63,1762
64,1428
65,1738
66,1678
67,1627
68,1576
69,1651
70,1580
71,1595
72,1515
73,1578
74,1459
75,1391
76,1484
77,1448
78,1483
79,1545
80,1370
81,1441
82,1451
83,1348
84,1380
85,1413
86,1304
87,1270
88,1384
89,1345
90,1223
91,1216
92,1306
93,1247
94,1242
95,1224
96,1283
97,1179
98,1100
99,1089
100,1093
101,1058
102,1083
103,1022
104,946
105,959
106,988
107,897
108,980
109,837
110,866
111,712
112,967
113,828
114,798
115,804
116,825
117,785
118,754
119,718
120,872
121,743
122,730
123,702
124,720
125,711
126,722
127,742
128,706
129,671
130,665
131,626
132,650
133,625
134,610
135,606
136,584
137,608
138,547
139,557
140,569
141,495
142,550
143,542
144,482
145,588
146,519
147,539
148,528
149,515
150,471
151,405
152,444
153,453
154,407
155,391
156,390
157,381
158,376
159,375
160,384
161,336
162,322
163,273
164,320
165,263
166,257
167,259
168,230
169,216
170,192
171,200
172,169
173,158
174,140
175,117
176,110
177,90
178,76
179,56
180,56
181,39
182,43
183,16
184,14
185,17
186,11
187,6
188,3
189,1
190,4
191,1
192,1
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
